 code name
80 SH.000092 资源50
81 SH.000093 180分层
82 SH.000094 上证上游
83 SH.000095 上证中游
84 SH.000096 上证下游
85 SH.000097 高端装备
86 SH.000098 上证F200
87 SH.000099 上证F300
88 SH.000100 上证F500
89 SH.000101 5年信用
90 SH.000102 沪投资品
91 SH.000103 沪消费品
92 SH.000104 380能源
93 SH.000105 380材料
94 SH.000106 380工业
95 SH.000107 380可选
96 SH.000108 380消费
97 SH.000109 380医药
98 SH.000110 380金融
99 SH.000111 380信息
100 SH.000112 380电信
101 SH.000113 380公用
102 SH.000114 持续产业
103 SH.000115 380等权
104 SH.000116 信用100
105 SH.000117 380成长
106 SH.000118 380价值
107 SH.000119 380R成长
108 SH.000120 380R价值
109 SH.000121 医药主题
110 SH.000122 农业主题
111 SH.000123 180动态
112 SH.000125 180稳定
113 SH.000126 消费50
114 SH.000128 380基本
115 SH.000129 180波动
116 SH.000130 380波动
117 SH.000131 上证高新
118 SH.000132 上证100
119 SH.000133 上证150
120 SH.000134 上证银行
121 SH.000135 180高贝
122 SH.000136 180低贝
123 SH.000137 380高贝
124 SH.000138 380低贝
125 SH.000139 上证转债
126 SH.000141 380动态
127 SH.000142 380稳定
128 SH.000145 优势资源
129 SH.000146 优势制造
130 SH.000147 优势消费
131 SH.000148 消费领先
132 SH.000149 180红利
133 SH.000150 380红利
134 SH.000151 上国红利
135 SH.000152 上央红利
136 SH.000153 上民红利
137 SH.000155 市值百强
138 SH.000158 上证环保
139 SH.000159 沪股通
140 SH.000160 沪新丝路
141 SH.000161 沪中国造
142 SH.000162 沪互联+
143 SH.000170 50AH优选
144 SH.000171 新兴成指
145 SH.000188 中国波指
146 SH.000300 沪深300
147 SH.000801 资源80
148 SH.000802 500沪市
149 SH.000803 300波动
150 SH.000804 500波动
151 SH.000805 A股资源
152 SH.000806 消费服务
153 SH.000807 食品饮料
154 SH.000808 医药生物
155 SH.000809 细分农业
156 SH.000810 细分能源
157 SH.000811 细分有色
158 SH.000812 细分机械
159 SH.000813 细分化工
160 SH.000814 细分医药
161 SH.000815 细分食品
162 SH.000816 细分地产
163 SH.000817 兴证海峡
164 SH.000818 细分金融
165 SH.000819 有色金属
166 SH.000820 煤炭指数
167 SH.000821 300红利
168 SH.000822 500红利
169 SH.000823 800有色
170 SH.000824 国企红利
171 SH.000825 央企红利
172 SH.000826 民企红利
173 SH.000827 中证环保
174 SH.000828 300高贝
175 SH.000829 300低贝
176 SH.000830 500高贝
177 SH.000831 500低贝
178 SH.000832 中证转债
179 SH.000833 中高企债
180 SH.000838 创业价值
181 SH.000839 浙企综指
182 SH.000840 浙江民企
183 SH.000841 800医药
184 SH.000842 800等权
185 SH.000843 300动态
186 SH.000844 300稳定
187 SH.000846 ESG100
188 SH.000847 腾讯济安
189 SH.000849 300非银
190 SH.000850 300有色
191 SH.000851 百发100
192 SH.000852 中证1000
193 SH.000853 CSSW丝路
194 SH.000854 500原料
195 SH.000855 央视500
196 SH.000856 500工业
197 SH.000857 500医药
198 SH.000858 500信息
199 SH.000863 CS精准医
200 SH.000865 上海国企
201 SH.000867 港中小企
202 SH.000869 HK银行
203 SH.000874 000874
204 SH.000891 新兴综指
205 SH.000901 小康指数
206 SH.000902 中证流通
207 SH.000903 中证100
208 SH.000904 中证200
209 SH.000905 中证500
210 SH.000906 中证800
211 SH.000907 中证700
212 SH.000908 300能源
213 SH.000909 300材料
214 SH.000910 300工业
215 SH.000911 300可选
216 SH.000912 300消费
217 SH.000913 300医药
218 SH.000914 300金融
219 SH.000915 300信息
220 SH.000916 300电信
221 SH.000917 300公用
222 SH.000918 300成长
223 SH.000919 300价值
224 SH.000920 300R成长
225 SH.000921 300R价值
226 SH.000922 中证红利
227 SH.000923 公司债
228 SH.000924 分离债
229 SH.000925 基本面50
230 SH.000926 中证央企
231 SH.000927 央企100
232 SH.000928 中证能源
233 SH.000929 中证材料
234 SH.000930 中证工业
235 SH.000931 中证可选
236 SH.000932 中证消费
237 SH.000933 中证医药
238 SH.000934 中证金融
239 SH.000935 中证信息
240 SH.000936 中证电信
241 SH.000937 中证公用
242 SH.000938 中证民企
243 SH.000939 民企200
244 SH.000940 财富大盘
245 SH.000941 新能源
246 SH.000942 内地消费
247 SH.000943 内地基建
248 SH.000944 内地资源
249 SH.000945 内地运输
250 SH.000946 内地金融
251 SH.000947 内地银行
252 SH.000948 内地地产
253 SH.000949 内地农业
254 SH.000950 300基建
255 SH.000951 300银行
256 SH.000952 300地产
257 SH.000953 中证地企
258 SH.000954 地企100
259 SH.000955 中证国企
260 SH.000956 国企200
261 SH.000957 300运输
262 SH.000958 创业成长
263 SH.000959 银河99
264 SH.000960 中证龙头
265 SH.000961 中证上游
266 SH.000962 中证中游
267 SH.000963 中证下游
268 SH.000964 中证新兴
269 SH.000965 基本200
270 SH.000966 基本400
271 SH.000967 基本600
272 SH.000968 300周期
273 SH.000969 300非周
274 SH.000970 ESG40
275 SH.000971 等权90
276 SH.000972 300沪市
277 SH.000973 技术领先
278 SH.000974 800金融
279 SH.000975 钱江30
280 SH.000976 新华金牛
281 SH.000977 内地低碳
282 SH.000978 医药100
283 SH.000979 大宗商品
284 SH.000980 中证超大
285 SH.000981 300分层
286 SH.000982 500等权
287 SH.000983 智能资产
288 SH.000984 300等权
289 SH.000985 中证全指
290 SH.000986 全指能源
291 SH.000987 全指材料
292 SH.000988 全指工业
293 SH.000989 全指可选
294 SH.000990 全指消费
295 SH.000991 全指医药
296 SH.000992 全指金融
297 SH.000993 全指信息
298 SH.000994 全指电信
299 SH.000995 全指公用
300 SH.000996 领先行业
301 SH.000997 大消费
302 SH.000998 中证TMT
303 SH.000999 两岸三地
